protein	count
Q5SW79	1
Q9NZW5	1
Q9NUQ3	7
P34949	3
P55072	8
P60709	55
P07384	4
P46940	7
Q13557	1
P35221	1
P60228	6
Q15797	2
O43143	8
Q9Y6M1	3
Q9H074	1
P49327	23
P07814	9
P22061	8
Q99615	3
Q9H098	2
P51665	4
P07437	37
O15131	1
Q9BRG1	6
P14866	16
Q9UGJ1	1
P84085	2
Q96EP5	10
Q6UX04	1
Q9C0D5	2
P49427	1
Q14157	10
GSTP1_HUMAN	6
P17096	2
Q5TBB1	4
P49458	5
P25490	3
Q9NTI5	8
Q6DKJ4	1
Q6P6C2	3
Q96CT7	4
P13010	11
NEDD8_HUMAN	3
P60891	1
Q9H0S4	2
Q99961	5
P52597	30
Q99496	1
P28370	4
Q9NZN4	1
Q8IUF8	1
Q14166	7
Q7KZF4	6
O60925	4
Q13867	2
O94953	1
Q14498	15
O75494	2
Q9GZS3	4
Q9NPJ3	1
Q9UEE9	3
Q07157	4
Q96CX2	6
P04908	1
Q9H9Q4	6
Q99832	30
Q9GZZ9	1
P78527	7
Q8N392	1
Q13619	1
O14579	3
Q96ST2	6
P62701	11
P13693	3
Q92769	23
Q92890	7
P35637	14
O14646	3
Q16630	10
Q68E01	4
Q8NFI3	3
Q9GZV4	1
P05114	5
P62318	21
O60493	6
Q9NUU7	2
P02545	7
Q5SSJ5	1
Q8IUH3	2
P49848	2
P62750	3
P35237	21
O76094	3
Q9BY43	1
P46734	1
Q15404	8
Q01995	4
Q4G0F5	3
Q13247	16
Q9Y6Y8	1
Q9NRW3	1
Q9UNH7	3
Q86V81	12
P57721	19
P37837	7
Q9H1B7	11
Q8NHZ8	3
Q9UBS0	2
P18669	19
P56211	1
P24534	17
Q16658	9
Q9Y5B8	2
Q14676	27
Q5JSL3	4
O00429	24
Q9BTE3	2
Q9UN37	1
Q8NHU6	2
Q562R1	2
O95865	3
P22234	18
P62714	5
P33176	5
Q9UPW0	4
P08397	7
Q9Y617	4
Q9Y5S2	3
Q9Y5X3	3
Q96MG7	3
P22314	47
Q8NDH3	1
Q8WWM7	4
O95239	6
P07910	11
Q9Y3C6	5
P50991	13
Q01105	7
P45983	1
Q15003	5
Q9Y5S9	3
Q8IWX8	2
Q92522	3
Q13057	5
Q15477	3
Q14697	5
P18621	2
Q99986	5
P62495	2
O15160	4
P26639	5
Q9BXR0	2
Q8WZ82	11
Q7LG56	2
Q8NCA5	2
Q8TDP1	3
O60256	2
Q15046	7
Q96EI5	2
Q07955	29
Q06587	4
P50613	3
P35611	4
P05388	11
Q8N6H7	2
P19525	4
O75340	8
Q92878	22
P61586	10
Q69YN2	3
Q02750	19
P60903	21
Q8N999	1
Q92620	2
Q9UFW8	2
Q13162	5
Q5T013	1
P53582	1
P62266	12
CAH2_HUMAN	4
Q12972	3
Q9H2M9	2
Q07960	1
O60885	20
Q96D46	1
P16104	2
P34897	1
Q9UKI8	2
Q96AT1	3
Q92945	22
O00401	3
Q9UN86	4
P04181	1
P05455	12
P84103	23
Q16181	12
Q8TAE6	2
O75792	2
Q96QC0	3
Q13418	4
O43314	2
P07311	1
Q96MW1	2
Q86UV5	1
P06132	4
O60664	4
Q9UNY4	5
Q6UXN9	8
NM_005678_1	18
P51580	2
Q9BZE9	1
Q9BYT8	1
P43490	15
O43396	2
Q92499	10
O00273	6
Q13573	2
O43747	2
P53602	2
P09012	8
O43592	1
Q9UJX3	7
Q16763	4
Q9GZN8	9
BID_HUMAN	5
Q9UHY7	4
Q9UQ13	1
Q14203	2
Q92747	5
P25685	9
P09884	1
Q12905	7
Q6PJT7	1
P56537	2
Q9H7C9	4
Q92804	1
Q15208	8
Q96SB8	1
O75153	4
Q9UBT2	4
O75146	2
O95758	1
Q9BWT6	2
Q9H008	1
Q9NX46	5
P30626	9
Q15019	13
Q96S55	2
Q9NVA2	11
Q5VWJ9	1
Q9UQ16	2
Q15631	3
Q14240	3
Q9C0B1	1
E9PAV3	6
P06737	9
Q9H0E3	1
P61106	3
Q9BSD7	2
P49321	10
P68036	7
P60842	7
Q6AI08	1
Q9Y3Z3	3
Q05048	4
P48163	17
O14908	5
P62633	14
Q05932	1
Q9H0C8	4
P67870	8
Q8ND24	1
P13984	1
P13489	7
Q9Y2V2	6
Q8IWZ8	1
Q8WUZ0	2
P06899	1
Q92841	38
P30520	7
B2RXH8	4
Q07812	3
P14324	3
P61956	7
P63165	6
P60900	3
Q15334	1
Q96EY4	2
O95248	2
Q9Y606	1
Q9Y383	9
P26583	6
P09874	26
Q96B01	1
O14981	5
Q9UIA9	4
Q86VM9	11
O95219	1
Q9UI12	4
Q00839	11
Q9UPN3	4
O96013	6
O60271	1
Q9NR30	3
O60547	5
Q14651	2
Q8N5L8	1
