protein	count
Q86TI2	1
Q9UKF6	2
P42575	4
P52735	1
P49368	12
Q9H9B1	5
Q13596	1
Q13619	4
P08621	22
Q5JVF3	3
Q9C0C2	1
P41214	1
P29372	2
Q5T200	1
Q8WUR7	1
Q9UKK3	3
P62861	4
Q15654	2
P06493	23
P30041	3
P23396	4
P85037	2
Q9UH65	2
P07910	5
Q9Y5Y2	2
O95071	1
Q92922	16
Q5SRD0	1
P57772	3
Q9NQC3	9
Q6P2C8	2
P61160	6
P49458	2
P35250	9
O95232	7
Q9Y2V2	1
P04264	10
Q9GZN1	1
O94888	2
Q58FF6	1
Q9Y2L1	2
O75607	7
P52209	2
Q01082	12
P54577	3
P62993	1
Q9P0V9	1
Q7L9L4	8
O00541	3
Q6P2Q9	13
P37802	5
P11387	2
P43246	6
Q9Y6W3	1
P32320	1
P0C0S5	1
Q9H1D9	1
Q15084	5
P19525	1
Q9Y6E0	2
O95861	3
Q14241	2
Q92793	2
Q9Y620	1
P15170	3
Q2TAL8	1
PRDX1_HUMAN	14
O43660	2
Q9UBS0	2
P49914	1
Q9BUR4	1
K22E_HUMAN	15
P52701	21
Q7Z5L9	6
Q9H269	1
Q8NEF9	1
O75131	13
P45983	1
O60869	1
P04080	1
O14929	1
Q15020	11
Q08752	9
Q9UPT8	3
Q8N1F7	2
Q9NVX2	9
P62241	2
Q14974	28
P49959	6
O43143	10
P43490	20
P62263	3
P38919	3
O75475	7
Q13547	14
O95163	2
O00471	3
P08237	3
O95155	2
Q9BPX3	8
P30419	7
Q8WUX9	1
P41252	3
Q15019	3
P49189	3
P09960	1
P49711	3
P37108	5
P61204	1
Q9NY12	1
P19784	12
P49848	4
P56192	5
P26368	17
Q15555	2
P19338	9
O95551	1
Q14CX7	2
P67809	7
Q86WQ0	4
P39748	5
P00441	1
Q96BP3	2
P61158	6
ALBU_HUMAN	1
P62736	10
Q13098	1
P49792	13
Q14696	1
Q9H8H0	1
P26885	1
Q7L014	15
Q8NDH3	3
O14733	1
P30740	4
P24468	1
Q9BRG1	1
Q15208	2
P61604	1
P46100	2
Q92796	1
Q12972	1
P12956	5
P61353	2
P16455	8
P14868	2
Q12894	1
Q8TDN6	2
P61923	1
Q9BTD8	1
Q14914	1
Q13144	1
P46063	4
Q8TAG9	1
P35790	1
Q9NVS9	1
Q96EP5	6
O94855	2
Q9NZ32	1
O43148	2
P46087	1
Q9P2R3	2
Q9Y3Z3	1
O60701	1
Q96PU4	1
Q9UMR2	1
Q96GM5	4
P0DME0	1
Q9Y4B4	1
P49643	3
Q92841	15
Q12792	4
Q99583	2
P07437	34
Q9Y530	1
P27361	1
Q86XI2	6
Q9Y2K7	4
P29084	6
Q8IZ73	2
Q9NQW7	2
Q13895	4
O00170	9
Q7KZF4	3
P28702	2
Q9ULR0	2
P07951	2
Q9BXW9	5
Q9P0L0	5
Q9NX24	1
Q1KMD3	1
Q5T4S7	4
P60903	17
P52907	3
Q9UHR6	1
Q6IBS0	3
Q9ULC4	2
Q96PZ0	2
Q9UBK8	1
Q9UHR5	2
Q86VM9	3
Q9UKY7	2
P30566	10
Q13561	3
Q8NFH3	1
O00203	1
Q9Y5L0	2
Q6P1J9	11
Q03468	3
O00232	5
Q9H0E9	1
Q09666	31
Q969G3	6
Q5TA45	1
Q15785	2
Q96T37	3
Q13620	2
Q96FW1	3
P62851	3
Q04637	9
Q14980	28
P68400	11
P28340	3
Q08945	11
Q8NHZ8	6
Q8WVJ2	2
Q13243	8
Q3B726	3
Q15365	15
P36639	6
Q9HCS7	2
P08865	3
Q96KR1	2
P46734	1
Q96KG9	2
Q8WXF1	2
Q8WUA4	3
Q8IUH3	1
Q13685	1
O14776	6
P60900	6
P55209	11
P55010	1
P62854	3
Q15648	2
Q9NRX4	3
O15446	2
Q9BS26	1
P42224	3
O43175	21
Q70J99	2
Q01130	8
P32969	1
Q92769	17
P30101	3
P07737	21
P23381	2
O75146	1
Q10567	4
P62937	7
P24666	3
Q07864	3
P07814	4
Q8TDW7	1
O76094	1
P60228	8
Q9P016	1
O00429	19
P24941	10
Q9Y520	1
Q99661	4
P22102	4
Q5TFE4	1
P63241	7
O43765	2
P42166	2
Q9H0S4	2
Q8WVV9	5
P55884	16
Q00688	2
Q9H0E3	4
P11586	20
Q14203	3
Q86XA9	3
Q6DD87	3
Q8WW12	7
Q9HCK8	4
Q92599	1
Q13526	2
Q99832	21
Q99584	3
Q8NBT2	2
P13647	3
P33316	20
Q9BTA9	3
Q8NFH4	1
Q15542	2
Q15477	1
Q9H0L4	1
P09417	1
Q12905	6
P18615	2
P21980	2
Q9BXP5	11
Q8TDI0	2
P15311	14
Q7Z794	1
P21359	2
P30044	2
P55795	10
P05387	5
Q86UE8	2
