protein	count
P20248	1
Q14807	4
Q8N6M0	1
Q9NP66	6
O00244	1
Q9UPQ0	1
O14979; Q14103; Q99729	16
O14727	1
NM_203488_1; P07311	2
XM_001716813_1; XM_001717824_1; XM_001717934_1	1
O60826	1
Q9BRK4	2
O14776	61
Q8IUF8	9
NM_001049_5	1
Q9H944	1
O15524	1
P55209	51
P21675	1
Q9ULC4	8
NM_001109662_7	2
Q9BQ67	2
O75475	39
ALBU_BOVIN; ALBU_HUMAN; P02768	24
Q6UVK1	2
Q6IQ49	1
Q8WUA2	29
Q14315	1
P31946	56
P35754	3
O00299	11
Q68EM7	5
P30050	5
P31153	12
NM_001009993_11	1
Q6ZSJ8	2
Q9ULU4	1
Q5T1J5; Q9Y6H1	1
Q8NBQ5	1
Q86V48	1
O94888	12
Q15057	2
Q9C0I1	2
O14578	5
Q9BXB5	1
Q16666	54
Q9Y5G5	2
P12081; SYH_HUMAN	10
Q16656	5
Q9H4A4	57
A2BFH1; P62937; PPIA_HUMAN	2
Q9BZK7	1
Q13151	8
Q9NTK5	88
P62136	15
Q06330	1
NM_032305_1	1
P35579; P35580; P35749; Q7Z406	3
Q96EZ8	2
Q5T4S7	11
P26196	1
Q9BTD8	6
Q01650	8
P62081	11
Q9BRZ2	1
O14773	1
Q9P2K3; Q9UKL0	6
P61158; Q9C0K3; Q9P1U1	6
Q6NWY9	2
P18085	3
Q15365	56
Q92597	2
Q7LFX5	1
Q96H79	3
P78346	20
Q01831	1
NM_020810_8; P05204	10
Q99460	37
Q9Y383	26
Q9Y613	5
Q96GD0	1
Q15723	2
Q9H3P2	31
P61088	11
P55060	27
Q9Y6Y8	2
NM_001002269_3; Q9NQT5	2
P30047	4
Q9Y4C8	5
Q96ST3	118
REF_HEVBR	2
Q9UEE9	2
P41567	7
Q04671	1
Q9Y4A5	7
Q14697	4
O14979; Q14103	2
A6NNZ2; P07437; P68371; Q13885; Q3ZCM7; Q9BVA1; Q9H4B7	36
Q96GX9	3
P49721	16
Q86YZ3	8
Q32MZ4	1
Q01085	4
Q96DI7	31
Q15654	5
Q9Y5N6	2
P07900; P08238; Q58FF7; Q58FF8	1
Q9H2U2	1
O14641	3
P09132	2
Q9H008	2
O75717	36
Q96L91	5
P50579	29
Q53F19	3
Q5FVE4	1
Q92889	6
P84103; Q16629	23
Q13509	3
KRHB5_HUMAN; P78386	2
P62280	3
P15170; Q8IYD1	9
P11172	23
Q9UKD2	5
K22E_HUMAN; P12035; P35908; Q01546; Q5XKE5	1
P11021	78
Q9UG63	2
NM_003004_7	1
Q93074	7
NM_001039380_3	1
Q13889	2
O95239	48
P48378	1
P61221	12
P60842; Q14240	8
Q16555	6
Q6ZRQ5	3
Q6STE5; Q92925; Q96GM5	1
Q5SRD0; Q641Q2; Q9Y4E1	3
Q5UIP0	51
O60930	2
Q8IYT2	1
Q96C90	5
Q8NF91	1
Q9NV70	3
Q9Y547	1
P04908; P0C0S5; P0C0S8; P16104; P20671; Q16777; Q6FI13; Q71UI9; Q7L7L0; Q8IUE6; Q93077; Q96KK5; Q96QV6; Q99878; Q9BTM1	3
P00558; P07205	8
P51149	1
P06702	5
Q06587; Q99496	1
A6NCN2; K2M1_SHEEP; K2M2_SHEEP; KRHB1_HUMAN; KRHB3_HUMAN; KRHB6_HUMAN; O43790; P78385; Q14533	1
Q9Y376	11
P11413	25
O43818	1
P47914	8
Q9BTC8	8
NM_001039575_3; NM_001039576_2; NM_145645_3; Q63ZY6; Q96P11	2
O60264; P51531; P51532; Q6ZRS2	6
NM_020449_1; Q8NI27	12
P00568	74
P61077; P62837	5
NM_003915_1; Q9NTZ6	7
Q96C19; Q9BUP0	3
Q9H6Y2	1
Q16186	5
Q9BW71	11
NM_020810_8; P05204; Q15651	6
Q13547	23
O76003	13
Q9H267	5
Q15418	1
O60934	2
A0AV96	3
Q9Y3I1	1
P63208	19
P04075	35
Q9UHV9	2
P68363; P68366; Q13748; Q71U36; Q9BQE3; Q9NY65	1
P08237	11
P10768	5
Q2TAL8	2
Q9HB71	18
P23526	39
Q9NYH9	1
P25787	32
Q15532	6
P11586	219
O43464	1
P06493; P24941; Q00526	12
Q00796	10
P40937	16
Q9Y263	74
Q9Y696	13
Q6UWJ8	2
Q8WUF8	1
Q9Y4B6	16
Q86US8	1
Q99471	2
P62244	16
P0DMM9; P0DMN0	5
Q16543	22
